price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated,date,day,month,year,7_day_avg,30_day_avg,day_of_week,is_weekend,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lag_5,price_lag_6,price_lag_7,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,daily_return,log_return,ewm_7
26141.823829503945,12800164278.269156,-24.7999,0.15557019,-1.16729452,-1.92843509,-10.54215105,-14.21706445,-2.1771838,508901577397.7618,48.3418,548978300419.58,0.0,2023-08-24 23:48:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26141.823829503945,3,0,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,-0.00016074972277591026,-0.00016076264439668364,26141.823829503945
26137.621538570496,12875184437.388348,-24.2485,0.10654151,-1.09134977,-1.78316964,-10.59677163,-14.23552573,-2.1764804,508819771610.2749,48.2576,548890052309.98,0.0,2023-08-24 23:54:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26139.72268403722,3,0,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,-0.00016074972277591026,-0.00016076264439668364,26139.42252039912
26129.60312549737,12873158889.32685,-24.2792,0.07322251,-1.10190415,-1.81702362,-10.62535388,-14.23563536,-2.20023097,508663677563.90106,48.2428,548721665635.44,0.0,2023-08-24 23:55:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26136.34949785727,3,0,26137.621538570496,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,-0.0003067766920296089,-0.00030682375762580705,26135.176295576744
26139.04009454925,12870440788.347744,-24.2999,0.1115068,-1.08000754,-1.9374052,-10.57659929,-14.20445611,-2.17847175,508847386568.5856,48.2964,548919841985.53,0.0,2023-08-24 23:57:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26137.022147030264,3,0,26129.60312549737,26137.621538570496,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,0.0003611600607384968,0.00036109485814250775,26136.58934205812
26181.61422681052,12863033591.743568,-24.0101,0.31712312,-0.93156342,-1.59003096,-10.4129462,-14.06404282,-1.95176666,509676175072.60895,48.3347,549813898763.02,0.0,2023-08-25 00:03:00+00:00,2023-08-25,25,8,2023,26140.070857406663,26145.940562986318,4,0,26139.04009454925,26129.60312549737,26137.621538570496,26141.823829503945,26141.823829503945,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,0.0016287565307400165,0.0016274315453461696,26151.347819006412
26166.20777566228,12851373342.525404,-23.5254,0.25161508,-1.07564614,-2.12313246,-10.47731109,-14.29785296,-2.0033231,509376258458.4288,48.3136,549490363288.91,0.0,2023-08-25 00:08:00+00:00,2023-08-25,25,8,2023,26140.070857406663,26149.318431765645,4,0,26181.61422681052,26139.04009454925,26129.60312549737,26137.621538570496,26141.823829503945,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,-0.0005884454264269978,-0.0005886186283863282,26155.867152423583
26084.5854112528,12758018573.404016,-21.11,0.27759074,-1.34448845,-1.33632869,-10.77037603,-14.04857871,-2.25822228,507796110476.8713,48.362,547776293636.31,0.0,2023-08-25 08:43:00+00:00,2023-08-25,25,8,2023,26140.070857406663,26140.070857406663,4,0,26166.20777566228,26181.61422681052,26139.04009454925,26129.60312549737,26137.621538570496,26141.823829503945,26141.823829503945,26140.070857406663,30.570499749342975,26084.5854112528,26181.61422681052,-0.0031193807337033252,-0.003124256143262727,26135.301539136584
26083.873471728,12758697682.100224,-21.1079,0.28023355,-1.34878472,-1.40019122,-10.77297451,-14.03689555,-2.29881916,507782250945.8154,48.3607,547761342906.29,0.0,2023-08-25 08:44:00+00:00,2023-08-25,25,8,2023,26131.792234867247,26133.04618419683,4,0,26084.5854112528,26166.20777566228,26181.61422681052,26139.04009454925,26129.60312549737,26137.621538570496,26141.823829503945,26131.792234867247,37.154310735630844,26083.873471728,26181.61422681052,-2.7293495893365716e-05,-2.729386836897163e-05,26121.01417234689
26074.6095388737,12756092672.357197,-21.044,0.35193783,-1.39075179,-1.60121721,-10.7796155,-14.1052278,-2.3051382,507601907306.192,48.3549,547566800316.35,0.0,2023-08-25 08:50:00+00:00,2023-08-25,25,8,2023,26122.790520624847,26126.553223605373,4,0,26083.873471728,26084.5854112528,26166.20777566228,26181.61422681052,26139.04009454925,26129.60312549737,26137.621538570496,26122.790520624847,42.72259504007913,26074.6095388737,26181.61422681052,-0.0003551594000921199,-0.0003552224841278928,26108.471231175736
26070.542760789893,12753212506.864674,-21.0426,0.36335925,-1.41395332,-1.82633616,-10.79600551,-14.20393697,-2.32595399,507522738170.0692,48.3628,547481397976.59,0.0,2023-08-25 08:52:00+00:00,2023-08-25,25,8,2023,26114.353325666634,26120.952177323827,4,0,26074.6095388737,26083.873471728,26084.5854112528,26166.20777566228,26181.61422681052,26139.04009454925,26129.60312549737,26114.353325666634,46.7910849290641,26070.542760789893,26181.61422681052,-0.00015596697920805536,-0.00015597914332232676,26098.423278021524
26073.977891266502,12754334416.83028,-21.0332,0.34311438,-1.38078234,-1.71001861,-10.77312782,-14.21426524,-2.3153468,507589610840.9398,48.3692,547553535716.6,0.0,2023-08-25 08:54:00+00:00,2023-08-25,25,8,2023,26105.058725197672,26116.681787682253,4,0,26070.542760789893,26074.6095388737,26083.873471728,26084.5854112528,26166.20777566228,26181.61422681052,26139.04009454925,26105.058725197672,47.52621335120443,26070.542760789893,26181.61422681052,0.00013176290605554364,0.00013175422608568965,26092.042435584437
